"","Datetime","Daging","Date","Year","Month","Date.1","Day"
"1",2019-12-30,95.014,"Senin, 30 Desember 2019",2019,"Desember",30,"Monday"
"2",2020-01-06,94.676,"Senin, 6 Januari 2020",2020,"Januari",6,"Monday"
"3",2020-01-13,94.273,"Senin, 13 Januari 2020",2020,"Januari",13,"Monday"
"4",2020-01-20,93.974,"Senin, 20 Januari 2020",2020,"Januari",20,"Monday"
"5",2020-01-27,94.038,"Senin, 27 Januari 2020",2020,"Januari",27,"Monday"
"6",2020-02-03,93.648,"Senin, 3 Februari 2020",2020,"Februari",3,"Monday"
"7",2020-02-10,93.775,"Senin, 10 Februari 2020",2020,"Februari",10,"Monday"
"8",2020-02-17,94.463,"Senin, 17 Februari 2020",2020,"Februari",17,"Monday"
"9",2020-02-24,94.706,"Senin, 24 Februari 2020",2020,"Februari",24,"Monday"
"10",2020-03-02,94.847,"Senin, 2 Maret 2020",2020,"Maret",2,"Monday"
"11",2020-03-09,94.987,"Senin, 9 Maret 2020",2020,"Maret",9,"Monday"
"12",2020-03-16,94.115,"Senin, 16 Maret 2020",2020,"Maret",16,"Monday"
"13",2020-03-23,93.551,"Senin, 23 Maret 2020",2020,"Maret",23,"Monday"
"14",2020-03-30,93.902,"Senin, 30 Maret 2020",2020,"Maret",30,"Monday"
"15",2020-04-06,95.049,"Senin, 6 April 2020",2020,"April",6,"Monday"
"16",2020-04-13,94.542,"Senin, 13 April 2020",2020,"April",13,"Monday"
"17",2020-04-20,93.093,"Senin, 20 April 2020",2020,"April",20,"Monday"
"18",2020-04-27,92.336,"Senin, 27 April 2020",2020,"April",27,"Monday"
"19",2020-05-04,93.351,"Senin, 4 Mei 2020",2020,"Mei",4,"Monday"
"20",2020-05-11,94.462,"Senin, 11 Mei 2020",2020,"Mei",11,"Monday"
"21",2020-05-18,98.712,"Senin, 18 Mei 2020",2020,"Mei",18,"Monday"
"22",2020-05-25,99.689,"Senin, 25 Mei 2020",2020,"Mei",25,"Monday"
"23",2020-06-01,98.036,"Senin, 1 Juni 2020",2020,"Juni",1,"Monday"
"24",2020-06-08,96.752,"Senin, 8 Juni 2020",2020,"Juni",8,"Monday"
"25",2020-06-15,97.27,"Senin, 15 Juni 2020",2020,"Juni",15,"Monday"
"26",2020-06-22,97.175,"Senin, 22 Juni 2020",2020,"Juni",22,"Monday"
"27",2020-06-29,97.153,"Senin, 29 Juni 2020",2020,"Juni",29,"Monday"
"28",2020-07-06,96.221,"Senin, 6 Juli 2020",2020,"Juli",6,"Monday"
"29",2020-07-13,95.756,"Senin, 13 Juli 2020",2020,"Juli",13,"Monday"
"30",2020-07-20,95.17,"Senin, 20 Juli 2020",2020,"Juli",20,"Monday"
"31",2020-07-27,95.171,"Senin, 27 Juli 2020",2020,"Juli",27,"Monday"
"32",2020-08-03,94.563,"Senin, 3 Agustus 2020",2020,"Agustus",3,"Monday"
"33",2020-08-10,93.351,"Senin, 10 Agustus 2020",2020,"Agustus",10,"Monday"
"34",2020-08-17,93.619,"Senin, 17 Agustus 2020",2020,"Agustus",17,"Monday"
"35",2020-08-24,93.104,"Senin, 24 Agustus 2020",2020,"Agustus",24,"Monday"
"36",2020-08-31,92.876,"Senin, 31 Agustus 2020",2020,"Agustus",31,"Monday"
"37",2020-09-07,92.743,"Senin, 7 September 2020",2020,"September",7,"Monday"
"38",2020-09-14,92.339,"Senin, 14 September 2020",2020,"September",14,"Monday"
"39",2020-09-21,92.13,"Senin, 21 September 2020",2020,"September",21,"Monday"
"40",2020-09-28,92.07,"Senin, 28 September 2020",2020,"September",28,"Monday"
"41",2020-10-05,92.242,"Senin, 5 Oktober 2020",2020,"Oktober",5,"Monday"
"42",2020-10-12,92.63,"Senin, 12 Oktober 2020",2020,"Oktober",12,"Monday"
"43",2020-10-19,92.87,"Senin, 19 Oktober 2020",2020,"Oktober",19,"Monday"
"44",2020-10-26,93.051,"Senin, 26 Oktober 2020",2020,"Oktober",26,"Monday"
"45",2020-11-02,93.471,"Senin, 2 November 2020",2020,"November",2,"Monday"
"46",2020-11-09,93.538,"Senin, 9 November 2020",2020,"November",9,"Monday"
"47",2020-11-16,93.87,"Senin, 16 November 2020",2020,"November",16,"Monday"
"48",2020-11-23,93.914,"Senin, 23 November 2020",2020,"November",23,"Monday"
"49",2020-11-30,93.777,"Senin, 30 November 2020",2020,"November",30,"Monday"
"50",2020-12-07,93.829,"Senin, 7 Desember 2020",2020,"Desember",7,"Monday"
"51",2020-12-14,94.026,"Senin, 14 Desember 2020",2020,"Desember",14,"Monday"
"52",2020-12-21,94.172,"Senin, 21 Desember 2020",2020,"Desember",21,"Monday"
"53",2020-12-28,96.053,"Senin, 28 Desember 2020",2020,"Desember",28,"Monday"
"54",2021-01-04,96.664,"Senin, 4 Januari 2021",2021,"Januari",4,"Monday"
"55",2021-01-11,96.705,"Senin, 11 Januari 2021",2021,"Januari",11,"Monday"
"56",2021-01-18,96.702,"Senin, 18 Januari 2021",2021,"Januari",18,"Monday"
"57",2021-01-25,97.161,"Senin, 25 Januari 2021",2021,"Januari",25,"Monday"
"58",2021-02-01,96.631,"Senin, 1 Februari 2021",2021,"Februari",1,"Monday"
"59",2021-02-08,96.393,"Senin, 8 Februari 2021",2021,"Februari",8,"Monday"
"60",2021-02-15,96.362,"Senin, 15 Februari 2021",2021,"Februari",15,"Monday"
"61",2021-02-22,96.484,"Senin, 22 Februari 2021",2021,"Februari",22,"Monday"
"62",2021-03-01,97.039,"Senin, 1 Maret 2021",2021,"Maret",1,"Monday"
"63",2021-03-08,97.14,"Senin, 8 Maret 2021",2021,"Maret",8,"Monday"
"64",2021-03-15,96.771,"Senin, 15 Maret 2021",2021,"Maret",15,"Monday"
"65",2021-03-22,96.681,"Senin, 22 Maret 2021",2021,"Maret",22,"Monday"
"66",2021-03-29,96.904,"Senin, 29 Maret 2021",2021,"Maret",29,"Monday"
"67",2021-04-05,103.935,"Senin, 5 April 2021",2021,"April",5,"Monday"
"68",2021-04-12,109.235,"Senin, 12 April 2021",2021,"April",12,"Monday"
"69",2021-04-19,109.252,"Senin, 19 April 2021",2021,"April",19,"Monday"
"70",2021-04-26,108.952,"Senin, 26 April 2021",2021,"April",26,"Monday"
"71",2021-05-03,111.801,"Senin, 3 Mei 2021",2021,"Mei",3,"Monday"
"72",2021-05-10,116.219,"Senin, 10 Mei 2021",2021,"Mei",10,"Monday"
"73",2021-05-17,115.363,"Senin, 17 Mei 2021",2021,"Mei",17,"Monday"
"74",2021-05-24,114.634,"Senin, 24 Mei 2021",2021,"Mei",24,"Monday"
"75",2021-05-31,113.622,"Senin, 31 Mei 2021",2021,"Mei",31,"Monday"
"76",2021-06-07,110.838,"Senin, 7 Juni 2021",2021,"Juni",7,"Monday"
"77",2021-06-14,110.235,"Senin, 14 Juni 2021",2021,"Juni",14,"Monday"
"78",2021-06-21,109.93,"Senin, 21 Juni 2021",2021,"Juni",21,"Monday"
"79",2021-06-28,109.502,"Senin, 28 Juni 2021",2021,"Juni",28,"Monday"
"80",2021-07-05,109.272,"Senin, 5 Juli 2021",2021,"Juli",5,"Monday"
"81",2021-07-12,108.827,"Senin, 12 Juli 2021",2021,"Juli",12,"Monday"
"82",2021-07-19,108.679,"Senin, 19 Juli 2021",2021,"Juli",19,"Monday"
"83",2021-07-26,108.811,"Senin, 26 Juli 2021",2021,"Juli",26,"Monday"
